Entidad,Sembrada,Cosechada,Siniestra,Precipitacion,A̱o
Jalisco,726.554,708.307,18.247,769,1985
Jalisco,754.702,694.165,60.537,776,1986
Jalisco,718.024,648.769,69.255,889.7,1987
Jalisco,705.541,663.98,41.561,766.4,1988
Jalisco,669.973,592.849,77.124,704.6,1989
Jalisco,685.523,651.662,33.861,1218.8,1990
Jalisco,634.908,593.395,41.513,883.3,1991
Jalisco,662.735,630.456,32.279,1236.7,1992
Jalisco,657.392,631.273,26.119,900.5,1993
Jalisco,697.754,659.642,38.112,550.5,1994
Jalisco,680.136,669.753,10.383,513,1995
Jalisco,678.807,658.432,20.375,598,1996
Jalisco,712.641,593.848,118.793,580,1997
Jalisco,675.889,660.856,15.033,720.4,1998
Jalisco,676.373,649.915,26.458,692.2,1999
Jalisco,654.68,557.174,97.506,632.3,2000
Jalisco,646.034,635.838,10.196,670.7,2001
Jalisco,642.074,622.037,20.036,792.2,2002
Jalisco,604.248,586.405,17.843,735.9,2003
Jalisco,607.942,589.114,18.828,1049.5,2004
Jalisco,579.949,531.528,48.421,664,2005
Jalisco,569.637,542.734,26.902,891.5,2006
Jalisco,586.906,561.309,25.597,836.5,2007
Jalisco,567.137,550.532,16.605,868.8,2008
Jalisco,564.539,490.446,74.092,703.7,2009
Jalisco,565.734,527.974,37.759,940.3,2010
Jalisco,564.789,481.041,83.748,602.3,2011
Jalisco,566.225,545.17,21.054,669.1,2012
Jalisco,542.367,538.248,4.119,1062.8,2013
Jalisco,503.328,500.628,2.7,981.5,2014
Jalisco,506.635,490.791,15.844,1145.8,2015
Jalisco,548.587,548.587,0,926.2,2016
Jalisco,548.968,548.968,0,946.1,2017
Jalisco,532.104,532.104,0,1075.9,2018
Jalisco,548.815,548.815,0,926.4,2019
Jalisco,550.11,550.11,0,874.2,2020
Jalisco,543.36,540.338,3.022,1106.4,2021
Jalisco,525.03,524.605,425,859.3,2022